arm,input_condition,artifact_count,claim_count,fact_precision,fact_recall,fact_f1,unsupported_claim_rate,contradiction_rate,coverage_of_salient_facts,numeric_accuracy,numeric_tolerance_accuracy
A,image_table_summary,24,75,0.9305555555555556,0.2938839285714286,0.4282747610146991,0.013888888888888888,0.05555555555555555,0.7770833333333333,0.9841269841269841,0.9841269841269841
B,image_table_summary,24,75,0.9305555555555556,0.2938839285714286,0.4282747610146991,0.013888888888888888,0.05555555555555555,0.7770833333333333,0.9841269841269841,0.9841269841269841
C,image_table_summary,24,75,0.9305555555555556,0.2938839285714286,0.4282747610146991,0.013888888888888888,0.05555555555555555,0.7770833333333333,0.9841269841269841,0.9841269841269841
BASELINE_LLM,image_table_summary,24,74,0.9166666666666666,0.27930059523809525,0.41102811876805684,0.027777777777777776,0.05555555555555555,0.7527777777777778,0.9761904761904762,0.9761904761904762
