model,r2_score,rmse,mse,mae
SVM,0.7318397882096748,0.13707050433286264,0.018788323158065313,0.09463935467965459
DT,0.5604531394996005,0.1754888111857837,0.030796322851399643,0.10855624704298139
RF,0.7756447415077128,0.12537616088536857,0.015719181718353823,0.083521166198093
KNN,0.8178589947081372,0.11296676843403355,0.01276149077042856,0.07423319958510755
XGBoost,0.7494763101779772,0.13248638205179633,0.017552641429174544,0.09559303423201744
