model,r2_score,rmse,mse,mae
SVM,0.8224700113811525,0.10141340367892628,0.010284678445744858,0.08147653538412535
DT,0.7446648125257986,0.12162275325913273,0.014792094110331881,0.07465867677859422
RF,0.8750659185809017,0.08507460871466557,0.007237689047953451,0.06294428971717786
KNN,0.8369249252208074,0.0971970959943106,0.00944727546972723,0.06883164030106192
XGBoost,0.8383368843539042,0.09677539855039556,0.009365477764587902,0.06895756613835399
