model,r2_score,rmse,mse,mae
SVM,0.9891867156670056,0.03988024089476881,0.001590433613824791,0.03142910010677741
DT,0.38826878216256433,0.29995719488805755,0.08997431876511214,0.2121017665710403
RF,0.8828432447572403,0.13126913669836512,0.017231586249534067,0.10607121508379913
KNN,0.6375362170480492,0.23089326815343345,0.05331170127857333,0.1638915974633852
XGBoost,0.9817651065613667,0.0517881713695203,0.0026820146937988018,0.038112310649040804
