model,r2_score,rmse,mse,mae
SVM,0.0,0.08385019496830996,0.007030855196223593,0.08327255186987143
DT,1.0,0.0,0.0,0.0
RF,1.0,0.0,0.0,0.0
KNN,1.0,0.0,0.0,0.0
XGBoost,0.0,2.734519455316331e-07,7.477596651503524e-14,2.734519455316331e-07
