model,r2_score,rmse,mse,mae
SVM,-0.5809562751609543,0.38176418614189783,0.1457438938205856,0.33585904382632253
DT,-1.8420549891331883,0.5118603544595389,0.2620010224674448,0.4207860929651957
RF,-0.4528815923787928,0.3659741118489845,0.133937050543653,0.3045607324693531
KNN,-0.4036805554769918,0.3597239857349217,0.12940134591301813,0.31163011782414196
XGBoost,-0.6988270988439977,0.39573990466785325,0.1566100721465216,0.3305298255616451
