model,r2_score,rmse,mse,mae
SVM,0.0,0.08754576843186937,0.007664261570326496,0.08724531818264793
DT,1.0,0.0,0.0,0.0
RF,1.0,0.0,0.0,0.0
KNN,1.0,0.0,0.0,0.0
XGBoost,0.0,2.734519455316331e-07,7.477596651503524e-14,2.734519455316331e-07
