model,r2_score,rmse,mse,mae
SVM,0.732409747545017,0.13692475905328272,0.018748389641799527,0.09460256693779981
DT,0.5604531394996005,0.1754888111857837,0.030796322851399643,0.10855624704298139
RF,0.7756018171353091,0.12538815399769956,0.015722189162950824,0.08355692337682429
KNN,0.8171678017037467,0.11318090995439674,0.012809918378105262,0.07502308749135642
XGBoost,0.7494763101779772,0.13248638205179633,0.017552641429174544,0.09559303423201744
